0, 0, 0, 0
3190.1431,2003.5239,1163.4901,2059.8884
3189.5498,1977.2512,1165.1710,2032.6622
3162.9810,1975.7634,1137.3063,2032.2296
3163.0654,2002.4927,1136.3357,2059.6978
3532.8667,2125.7979,981.5591,2196.7485
3531.4084,2092.2527,984.2396,2162.7224
3497.4775,2090.6099,949.0510,2162.8259
3498.3528,2123.8330,948.4618,2196.2512
3400.6855,2179.1919,1051.6217,2116.7368
3400.9282,2145.1052,1055.3419,2087.4958
3364.3267,2141.6099,1026.2385,2086.3135
3363.8179,2175.6494,1025.2684,2115.1069
3209.3823,2047.2930,1330.8984,2009.1638
3210.1692,2020.5992,1333.5427,1985.2859
3181.8025,2018.3813,1309.9309,1984.0988
3180.7507,2044.7928,1308.3951,2007.6532
